# instruction bytes -> MASM text, verified byte-identical by tools/verify_encodings.py.
# Regenerate with: py tools/verify_encodings.py --table data/encodings.tsv
cc	int 3
d8ae18010000	fsubr dword ptr [esi + 118h]
d88618010000	fadd dword ptr [esi + 118h]
d8ae1c010000	fsubr dword ptr [esi + 11Ch]
d8861c010000	fadd dword ptr [esi + 11Ch]
d8ae14010000	fsubr dword ptr [esi + 114h]
d88614010000	fadd dword ptr [esi + 114h]
c7860801000000000000	mov dword ptr [esi + 108h], 0
89bed4000000	mov dword ptr [esi + 0D4h], edi
c786a000000001000000	mov dword ptr [esi + 0A0h], 1
d98324010000	fld dword ptr [ebx + 124h]
d99324010000	fst dword ptr [ebx + 124h]
81bb200100000000803f	cmp dword ptr [ebx + 120h], 3F800000h
6683791800	cmp word ptr [ecx + 18h], 0
66c7401c0200	mov word ptr [eax + 1Ch], 2
d9831c010000	fld dword ptr [ebx + 11Ch]
d89b20010000	fcomp dword ptr [ebx + 120h]
d88b20010000	fmul dword ptr [ebx + 120h]
d9931c010000	fst dword ptr [ebx + 11Ch]
8a483c	mov cl, byte ptr [eax + 3Ch]
d9838c000000	fld dword ptr [ebx + 8Ch]
d98388000000	fld dword ptr [ebx + 88h]
d99b1c010000	fstp dword ptr [ebx + 11Ch]
8bb310010000	mov esi, dword ptr [ebx + 110h]
8bb314010000	mov esi, dword ptr [ebx + 114h]
d95b40	fstp dword ptr [ebx + 40h]
d84344	fadd dword ptr [ebx + 44h]
d95b44	fstp dword ptr [ebx + 44h]
3b8614010000	cmp eax, dword ptr [esi + 114h]
c7861801000000000000	mov dword ptr [esi + 118h], 0
66837a1c00	cmp word ptr [edx + 1Ch], 0
899624010000	mov dword ptr [esi + 124h], edx
8b9118010000	mov edx, dword ptr [ecx + 118h]
898110010000	mov dword ptr [ecx + 110h], eax
899114010000	mov dword ptr [ecx + 114h], edx
c7811801000000000000	mov dword ptr [ecx + 118h], 0
8b8110010000	mov eax, dword ptr [ecx + 110h]
d99920010000	fstp dword ptr [ecx + 120h]
d8891c010000	fmul dword ptr [ecx + 11Ch]
899110010000	mov dword ptr [ecx + 110h], edx
d8a11c010000	fsub dword ptr [ecx + 11Ch]
d9991c010000	fstp dword ptr [ecx + 11Ch]
c7868800000000004842	mov dword ptr [esi + 88h], 42480000h
66c746180000	mov word ptr [esi + 18h], 0
d84174	fadd dword ptr [ecx + 74h]
8d9688000000	lea edx, [esi + 88h]
898eac000000	mov dword ptr [esi + 0ACh], ecx
c786b8000000cdcccc3d	mov dword ptr [esi + 0B8h], 3DCCCCCDh
c786d40000000ad7233c	mov dword ptr [esi + 0D4h], 3C23D70Ah
c78698000000cdcc4c3f	mov dword ptr [esi + 98h], 3F4CCCCDh
8d791c	lea edi, [ecx + 1Ch]
8d8bfc000000	lea ecx, [ebx + 0FCh]
d88b98000000	fmul dword ptr [ebx + 98h]
d88b94000000	fmul dword ptr [ebx + 94h]
d983b4000000	fld dword ptr [ebx + 0B4h]
8b5370	mov edx, dword ptr [ebx + 70h]
d983b0000000	fld dword ptr [ebx + 0B0h]
8d8300010000	lea eax, [ebx + 100h]
8d8304010000	lea eax, [ebx + 104h]
d983cc000000	fld dword ptr [ebx + 0CCh]
d883e8000000	fadd dword ptr [ebx + 0E8h]
8dbd5cffffff	lea edi, [ebp - 0A4h]
d983ec000000	fld dword ptr [ebx + 0ECh]
d983a8000000	fld dword ptr [ebx + 0A8h]
8d83f8000000	lea eax, [ebx + 0F8h]
d983bc000000	fld dword ptr [ebx + 0BCh]
8d93f0000000	lea edx, [ebx + 0F0h]
d983d0000000	fld dword ptr [ebx + 0D0h]
8d7b40	lea edi, [ebx + 40h]
d889b8000000	fmul dword ptr [ecx + 0B8h]
8d8eb0000000	lea ecx, [esi + 0B0h]
8d86c4000000	lea eax, [esi + 0C4h]
c746600ad7233c	mov dword ptr [esi + 60h], 3C23D70Ah
8b7c83fc	mov edi, dword ptr [ebx + eax*4 - 4]
897c82fc	mov dword ptr [edx + eax*4 - 4], edi
8b5482fc	mov edx, dword ptr [edx + eax*4 - 4]
d8594c	fcomp dword ptr [ecx + 4Ch]
d85950	fcomp dword ptr [ecx + 50h]
d8614c	fsub dword ptr [ecx + 4Ch]
d94490fc	fld dword ptr [eax + edx*4 - 4]
d95c90fc	fstp dword ptr [eax + edx*4 - 4]
d8f6	fdiv st, st(6)
3b5118	cmp edx, dword ptr [ecx + 18h]
d9564c	fst dword ptr [esi + 4Ch]
be0000803f	mov esi, 3F800000h
d80c90	fmul dword ptr [eax + edx*4]
397158	cmp dword ptr [ecx + 58h], esi
d86158	fsub dword ptr [ecx + 58h]
d91c90	fstp dword ptr [eax + edx*4]
d904b8	fld dword ptr [eax + edi*4]
d904b9	fld dword ptr [ecx + edi*4]
d904ba	fld dword ptr [edx + edi*4]
81c488000000	add esp, 88h
d86160	fsub dword ptr [ecx + 60h]
d95160	fst dword ptr [ecx + 60h]
d95964	fstp dword ptr [ecx + 64h]
2000	and byte ptr [eax], al
893c86	mov dword ptr [esi + eax*4], edi
8b3401	mov esi, dword ptr [ecx + eax]
8d8eb8030000	lea ecx, [esi + 3B8h]
8d8ee0010000	lea ecx, [esi + 1E0h]
8d04fd04000000	lea eax, [edi*8 + 4]
803823	cmp byte ptr [eax], 23h
c644ca03fe	mov byte ptr [edx + ecx*8 + 3], 0FEh
c644c103ff	mov byte ptr [ecx + eax*8 + 3], 0FFh
8844d103	mov byte ptr [ecx + edx*8 + 3], al
884cf202	mov byte ptr [edx + esi*8 + 2], cl
8844ca01	mov byte ptr [edx + ecx*8 + 1], al
8804ca	mov byte ptr [edx + ecx*8], al
8b44c104	mov eax, dword ptr [ecx + eax*8 + 4]
8944d104	mov dword ptr [ecx + edx*8 + 4], eax
ff03	inc dword ptr [ebx]
8d95e8feffff	lea edx, [ebp - 118h]
0fbe4601	movsx eax, byte ptr [esi + 1]
3cfe	cmp al, 0FEh
0fbe4e02	movsx ecx, byte ptr [esi + 2]
0fbe4602	movsx eax, byte ptr [esi + 2]
0fbe5602	movsx edx, byte ptr [esi + 2]
8b9708010000	mov edx, dword ptr [edi + 108h]
898708010000	mov dword ptr [edi + 108h], eax
c787f400000001000000	mov dword ptr [edi + 0F4h], 1
885df3	mov byte ptr [ebp - 0Dh], bl
8d95e4feffff	lea edx, [ebp - 11Ch]
0fbe4e01	movsx ecx, byte ptr [esi + 1]
8b87f4000000	mov eax, dword ptr [edi + 0F4h]
8a5df3	mov bl, byte ptr [ebp - 0Dh]
c787f400000000000000	mov dword ptr [edi + 0F4h], 0
884f03	mov byte ptr [edi + 3], cl
891c87	mov dword ptr [edi + eax*4], ebx
6824010000	push 124h
c786a001000010000000	mov dword ptr [esi + 1A0h], 10h
c7868800000000000000	mov dword ptr [esi + 88h], 0
81ec14030000	sub esp, 314h
8d5304	lea edx, [ebx + 4]
8d8de0fcffff	lea ecx, [ebp - 320h]
8d85e0fcffff	lea eax, [ebp - 320h]
8d8390000000	lea eax, [ebx + 90h]
81c394000000	add ebx, 94h
8d8de0fdffff	lea ecx, [ebp - 220h]
c7451005000000	mov dword ptr [ebp + 10h], 5
0faf4d10	imul ecx, dword ptr [ebp + 10h]
03838c000000	add eax, dword ptr [ebx + 8Ch]
8b9ba0010000	mov ebx, dword ptr [ebx + 1A0h]
8d7304	lea esi, [ebx + 4]
8b9388000000	mov edx, dword ptr [ebx + 88h]
8db3dc000000	lea esi, [ebx + 0DCh]
8db8dc000000	lea edi, [eax + 0DCh]
898804010000	mov dword ptr [eax + 104h], ecx
899004010000	mov dword ptr [eax + 104h], edx
81ec580a0000	sub esp, 0A58h
8d859cf5ffff	lea eax, [ebp - 0A64h]
8d8dc4faffff	lea ecx, [ebp - 53Ch]
8b8788000000	mov eax, dword ptr [edi + 88h]
8d95c4faffff	lea edx, [ebp - 53Ch]
8b8f88000000	mov ecx, dword ptr [edi + 88h]
8dbc359cf5ffff	lea edi, [ebp + esi - 0A64h]
8b8888000000	mov ecx, dword ptr [eax + 88h]
8dbc35c4faffff	lea edi, [ebp + esi - 53Ch]
8b8288000000	mov eax, dword ptr [edx + 88h]
81c608010000	add esi, 108h
81fe28050000	cmp esi, 528h
8dbd9cf5ffff	lea edi, [ebp - 0A64h]
81c708010000	add edi, 108h
8d8dbcf9ffff	lea ecx, [ebp - 644h]
8db9f8feffff	lea edi, [ecx - 108h]
8db4cd9cf5ffff	lea esi, [ebp + ecx*8 - 0A64h]
8dbdc4faffff	lea edi, [ebp - 53Ch]
8d8c359cf5ffff	lea ecx, [ebp + esi - 0A64h]
8d8c35c4faffff	lea ecx, [ebp + esi - 53Ch]
8db4c5c4faffff	lea esi, [ebp + eax*8 - 53Ch]
8d86d8010000	lea eax, [esi + 1D8h]
b932000000	mov ecx, 32h
c786880000001f000000	mov dword ptr [esi + 88h], 1Fh
898288000000	mov dword ptr [edx + 88h], eax
898ac4000000	mov dword ptr [edx + 0C4h], ecx
8982c8000000	mov dword ptr [edx + 0C8h], eax
898acc000000	mov dword ptr [edx + 0CCh], ecx
8982d0000000	mov dword ptr [edx + 0D0h], eax
898ad4000000	mov dword ptr [edx + 0D4h], ecx
8dbbd8000000	lea edi, [ebx + 0D8h]
8dbad8000000	lea edi, [edx + 0D8h]
8b8ba0010000	mov ecx, dword ptr [ebx + 1A0h]
8db3d8010000	lea esi, [ebx + 1D8h]
898aa0010000	mov dword ptr [edx + 1A0h], ecx
8b83a4010000	mov eax, dword ptr [ebx + 1A4h]
8982a4010000	mov dword ptr [edx + 1A4h], eax
8b8ba8010000	mov ecx, dword ptr [ebx + 1A8h]
898aa8010000	mov dword ptr [edx + 1A8h], ecx
8b83ac010000	mov eax, dword ptr [ebx + 1ACh]
8982ac010000	mov dword ptr [edx + 1ACh], eax
8b8bb0010000	mov ecx, dword ptr [ebx + 1B0h]
898ab0010000	mov dword ptr [edx + 1B0h], ecx
8b83b4010000	mov eax, dword ptr [ebx + 1B4h]
8982b4010000	mov dword ptr [edx + 1B4h], eax
8b8bb8010000	mov ecx, dword ptr [ebx + 1B8h]
8b83c0010000	mov eax, dword ptr [ebx + 1C0h]
8982c0010000	mov dword ptr [edx + 1C0h], eax
8b8bc8010000	mov ecx, dword ptr [ebx + 1C8h]
898ac8010000	mov dword ptr [edx + 1C8h], ecx
8b83cc010000	mov eax, dword ptr [ebx + 1CCh]
8982cc010000	mov dword ptr [edx + 1CCh], eax
8b8bc4010000	mov ecx, dword ptr [ebx + 1C4h]
898ac4010000	mov dword ptr [edx + 1C4h], ecx
8b83d0010000	mov eax, dword ptr [ebx + 1D0h]
b9e41b0000	mov ecx, 1BE4h
8dbad8010000	lea edi, [edx + 1D8h]
8982d0010000	mov dword ptr [edx + 1D0h], eax
81c368710000	add ebx, 7168h
81c268710000	add edx, 7168h
83be880000001f	cmp dword ptr [esi + 88h], 1Fh
833f1f	cmp dword ptr [edi], 1Fh
8d8bc4000000	lea ecx, [ebx + 0C4h]
8d8bd0000000	lea ecx, [ebx + 0D0h]
8d93d4000000	lea edx, [ebx + 0D4h]
8d8bd8000000	lea ecx, [ebx + 0D8h]
8d938c000000	lea edx, [ebx + 8Ch]
8d83a0010000	lea eax, [ebx + 1A0h]
8d93bc010000	lea edx, [ebx + 1BCh]
8d83a8010000	lea eax, [ebx + 1A8h]
8d8bac010000	lea ecx, [ebx + 1ACh]
8d93b0010000	lea edx, [ebx + 1B0h]
8d83b4010000	lea eax, [ebx + 1B4h]
8d8bb8010000	lea ecx, [ebx + 1B8h]
8d93c0010000	lea edx, [ebx + 1C0h]
8d83c4010000	lea eax, [ebx + 1C4h]
8d93cc010000	lea edx, [ebx + 1CCh]
8dbbd8010000	lea edi, [ebx + 1D8h]
c745fcaa000000	mov dword ptr [ebp - 4], 0AAh
8d9384000000	lea edx, [ebx + 84h]
8d83d8000000	lea eax, [ebx + 0D8h]
8d83a4010000	lea eax, [ebx + 1A4h]
8d83ac010000	lea eax, [ebx + 1ACh]
8d8bb0010000	lea ecx, [ebx + 1B0h]
8d93b4010000	lea edx, [ebx + 1B4h]
8d83b8010000	lea eax, [ebx + 1B8h]
8d8bc0010000	lea ecx, [ebx + 1C0h]
8d93c4010000	lea edx, [ebx + 1C4h]
8d83c8010000	lea eax, [ebx + 1C8h]
8d8bcc010000	lea ecx, [ebx + 1CCh]
8d93d0010000	lea edx, [ebx + 1D0h]
c781880000001f000000	mov dword ptr [ecx + 88h], 1Fh
8b91c8000000	mov edx, dword ptr [ecx + 0C8h]
668b81d4000000	mov ax, word ptr [ecx + 0D4h]
8db9d8000000	lea edi, [ecx + 0D8h]
83e601	and esi, 1
81c6d8010000	add esi, 1D8h
8b56e4	mov edx, dword ptr [esi - 1Ch]
8b46d0	mov eax, dword ptr [esi - 30h]
89818c010000	mov dword ptr [ecx + 18Ch], eax
8b56d4	mov edx, dword ptr [esi - 2Ch]
899084010000	mov dword ptr [eax + 184h], edx
8b4ed8	mov ecx, dword ptr [esi - 28h]
8b56dc	mov edx, dword ptr [esi - 24h]
8990ac010000	mov dword ptr [eax + 1ACh], edx
8b4ee0	mov ecx, dword ptr [esi - 20h]
8981c0010000	mov dword ptr [ecx + 1C0h], eax
8b56f4	mov edx, dword ptr [esi - 0Ch]
8990a8010000	mov dword ptr [eax + 1A8h], edx
8b4eec	mov ecx, dword ptr [esi - 14h]
898ab4010000	mov dword ptr [edx + 1B4h], ecx
8b46f8	mov eax, dword ptr [esi - 8]
8db8d8010000	lea edi, [eax + 1D8h]
8db0d8010000	lea esi, [eax + 1D8h]
c7401800001644	mov dword ptr [eax + 18h], 44160000h
8991c8000000	mov dword ptr [ecx + 0C8h], edx
8981cc000000	mov dword ptr [ecx + 0CCh], eax
8991d0000000	mov dword ptr [ecx + 0D0h], edx
8981d4000000	mov dword ptr [ecx + 0D4h], eax
8d91d8000000	lea edx, [ecx + 0D8h]
8988a0010000	mov dword ptr [eax + 1A0h], ecx
8990bc010000	mov dword ptr [eax + 1BCh], edx
8988a4010000	mov dword ptr [eax + 1A4h], ecx
8b8a8c010000	mov ecx, dword ptr [edx + 18Ch]
8988a8010000	mov dword ptr [eax + 1A8h], ecx
8b8a84010000	mov ecx, dword ptr [edx + 184h]
8988ac010000	mov dword ptr [eax + 1ACh], ecx
8990b0010000	mov dword ptr [eax + 1B0h], edx
8b91ac010000	mov edx, dword ptr [ecx + 1ACh]
8990b4010000	mov dword ptr [eax + 1B4h], edx
8b91b0010000	mov edx, dword ptr [ecx + 1B0h]
8990b8010000	mov dword ptr [eax + 1B8h], edx
8b91c0010000	mov edx, dword ptr [ecx + 1C0h]
8990c0010000	mov dword ptr [eax + 1C0h], edx
8b91a8010000	mov edx, dword ptr [ecx + 1A8h]
8990cc010000	mov dword ptr [eax + 1CCh], edx
8b91b4010000	mov edx, dword ptr [ecx + 1B4h]
8990c4010000	mov dword ptr [eax + 1C4h], edx
8b91c4010000	mov edx, dword ptr [ecx + 1C4h]
8990d0010000	mov dword ptr [eax + 1D0h], edx
81c168710000	add ecx, 7168h
80cd08	or ch, 8
c786d000000073040000	mov dword ptr [esi + 0D0h], 473h
c786d400000020000000	mov dword ptr [esi + 0D4h], 20h
c786d000000053040000	mov dword ptr [esi + 0D0h], 453h
c786d400000010000000	mov dword ptr [esi + 0D4h], 10h
c786d000000043040000	mov dword ptr [esi + 0D0h], 443h
c786d400000008000000	mov dword ptr [esi + 0D4h], 8
8981a0010000	mov dword ptr [ecx + 1A0h], eax
8981ac010000	mov dword ptr [ecx + 1ACh], eax
8981b0010000	mov dword ptr [ecx + 1B0h], eax
8991a4010000	mov dword ptr [ecx + 1A4h], edx
8991a8010000	mov dword ptr [ecx + 1A8h], edx
8981b4010000	mov dword ptr [ecx + 1B4h], eax
8981b8010000	mov dword ptr [ecx + 1B8h], eax
8b92a8010000	mov edx, dword ptr [edx + 1A8h]
c781c4010000cdcccc3d	mov dword ptr [ecx + 1C4h], 3DCCCCCDh
8991cc010000	mov dword ptr [ecx + 1CCh], edx
8981d0010000	mov dword ptr [ecx + 1D0h], eax
c6816f71000001	mov byte ptr [ecx + 716Fh], 1
888168710000	mov byte ptr [ecx + 7168h], al
888169710000	mov byte ptr [ecx + 7169h], al
88816a710000	mov byte ptr [ecx + 716Ah], al
88816b710000	mov byte ptr [ecx + 716Bh], al
88816c710000	mov byte ptr [ecx + 716Ch], al
88816d710000	mov byte ptr [ecx + 716Dh], al
888170710000	mov byte ptr [ecx + 7170h], al
c781bc0100000000403f	mov dword ptr [ecx + 1BCh], 3F400000h
c7868400000006000000	mov dword ptr [esi + 84h], 6
8b8990000000	mov ecx, dword ptr [ecx + 90h]
89140b	mov dword ptr [ebx + ecx], edx
890c83	mov dword ptr [ebx + eax*4], ecx
8d148504000000	lea edx, [eax*4 + 4]
8bb98c000000	mov edi, dword ptr [ecx + 8Ch]
3a0e	cmp cl, byte ptr [esi]
3a4e01	cmp cl, byte ptr [esi + 1]
8bb990000000	mov edi, dword ptr [ecx + 90h]
3b8188000000	cmp eax, dword ptr [ecx + 88h]
8d0c85fcffffff	lea ecx, [eax*4 - 4]
8d0495fcffffff	lea eax, [edx*4 - 4]
895c0afc	mov dword ptr [edx + ecx - 4], ebx
8b9e88000000	mov ebx, dword ptr [esi + 88h]
83be8400000006	cmp dword ptr [esi + 84h], 6
c70006000000	mov dword ptr [eax], 6
8d85acfeffff	lea eax, [ebp - 154h]
837dfc06	cmp dword ptr [ebp - 4], 6
397d08	cmp dword ptr [ebp + 8], edi
889e28010000	mov byte ptr [esi + 128h], bl
889e8c010000	mov byte ptr [esi + 18Ch], bl
899e80010000	mov dword ptr [esi + 180h], ebx
c7868401000001000000	mov dword ptr [esi + 184h], 1
c7868400000003000000	mov dword ptr [esi + 84h], 3
8dbe8d010000	lea edi, [esi + 18Dh]
8dbe00010000	lea edi, [esi + 100h]
8a8228010000	mov al, byte ptr [edx + 128h]
888328010000	mov byte ptr [ebx + 128h], al
8b8a80010000	mov ecx, dword ptr [edx + 180h]
898b80010000	mov dword ptr [ebx + 180h], ecx
8dba88000000	lea edi, [edx + 88h]
8dbab0000000	lea edi, [edx + 0B0h]
8db3b0000000	lea esi, [ebx + 0B0h]
8db3d8000000	lea esi, [ebx + 0D8h]
81c230010000	add edx, 130h
8d838d010000	lea eax, [ebx + 18Dh]
8d968d010000	lea edx, [esi + 18Dh]
898b84010000	mov dword ptr [ebx + 184h], ecx
8dbee0010000	lea edi, [esi + 1E0h]
81c1e0010000	add ecx, 1E0h
d9812c010000	fld dword ptr [ecx + 12Ch]
83e805	sub eax, 5
81ecb4010000	sub esp, 1B4h
8d9540feffff	lea edx, [ebp - 1C0h]
81ec98020000	sub esp, 298h
8d955cfdffff	lea edx, [ebp - 2A4h]
8d855cfdffff	lea eax, [ebp - 2A4h]
8b9538ffffff	mov edx, dword ptr [ebp - 0C8h]
399f7c020000	cmp dword ptr [edi + 27Ch], ebx
8b877c020000	mov eax, dword ptr [edi + 27Ch]
8b8784020000	mov eax, dword ptr [edi + 284h]
8b837c020000	mov eax, dword ptr [ebx + 27Ch]
bf07000000	mov edi, 7
80f907	cmp cl, 7
bf3f000000	mov edi, 3Fh
83e238	and edx, 38h
80fa38	cmp dl, 38h
81cfc0010000	or edi, 1C0h
25c0010000	and eax, 1C0h
3dc0010000	cmp eax, 1C0h
81cf000e0000	or edi, 0E00h
bf77070000	mov edi, 777h
bf7f070000	mov edi, 77Fh
83e270	and edx, 70h
80fa70	cmp dl, 70h
81cf80000000	or edi, 80h
81e100070000	and ecx, 700h
81f900070000	cmp ecx, 700h
81cf00080000	or edi, 800h
3dff0f0000	cmp eax, 0FFFh
8b85f0000000	mov eax, dword ptr [ebp + 0F0h]
8b8dec000000	mov ecx, dword ptr [ebp + 0ECh]
89a5f0000000	mov dword ptr [ebp + 0F0h], esp
c2ec00	ret 0ECh
888228010000	mov byte ptr [edx + 128h], al
88828c010000	mov byte ptr [edx + 18Ch], al
898280010000	mov dword ptr [edx + 180h], eax
898284010000	mov dword ptr [edx + 184h], eax
898288010000	mov dword ptr [edx + 188h], eax
89822c010000	mov dword ptr [edx + 12Ch], eax
8dba30010000	lea edi, [edx + 130h]
8dba8d010000	lea edi, [edx + 18Dh]
8dba00010000	lea edi, [edx + 100h]
81c2b0000000	add edx, 0B0h
8d918d010000	lea edx, [ecx + 18Dh]
8d818d010000	lea eax, [ecx + 18Dh]
8d9a88000000	lea ebx, [edx + 88h]
c6828c01000001	mov byte ptr [edx + 18Ch], 1
8d91b0000000	lea edx, [ecx + 0B0h]
8d81d8000000	lea eax, [ecx + 0D8h]
c6868c01000001	mov byte ptr [esi + 18Ch], 1
c6868c01000000	mov byte ptr [esi + 18Ch], 0
8d8680010000	lea eax, [esi + 180h]
8d9688010000	lea edx, [esi + 188h]
8d868d010000	lea eax, [esi + 18Dh]
8d96b0000000	lea edx, [esi + 0B0h]
8d86d8000000	lea eax, [esi + 0D8h]
81c600010000	add esi, 100h
837d0802	cmp dword ptr [ebp + 8], 2
8d8b2c010000	lea ecx, [ebx + 12Ch]
8d9384010000	lea edx, [ebx + 184h]
8d8388010000	lea eax, [ebx + 188h]
8d8b88000000	lea ecx, [ebx + 88h]
8d93b0000000	lea edx, [ebx + 0B0h]
8d8b8d010000	lea ecx, [ebx + 18Dh]
8d9300010000	lea edx, [ebx + 100h]
8dbb00010000	lea edi, [ebx + 100h]
8d832c010000	lea eax, [ebx + 12Ch]
8d8b28010000	lea ecx, [ebx + 128h]
8d8380010000	lea eax, [ebx + 180h]
8d8b84010000	lea ecx, [ebx + 184h]
8d9388010000	lea edx, [ebx + 188h]
8d8bb0000000	lea ecx, [ebx + 0B0h]
8d93d8000000	lea edx, [ebx + 0D8h]
c78284000000d2040000	mov dword ptr [edx + 84h], 4D2h
8dbedc000000	lea edi, [esi + 0DCh]
c7828800000000000000	mov dword ptr [edx + 88h], 0
8dbadc000000	lea edi, [edx + 0DCh]
898204010000	mov dword ptr [edx + 104h], eax
8d81dc000000	lea eax, [ecx + 0DCh]
8b8104010000	mov eax, dword ptr [ecx + 104h]
8d91dc000000	lea edx, [ecx + 0DCh]
898104010000	mov dword ptr [ecx + 104h], eax
8dbbdc000000	lea edi, [ebx + 0DCh]
8db2dc000000	lea esi, [edx + 0DCh]
8b8304010000	mov eax, dword ptr [ebx + 104h]
81c604010000	add esi, 104h
8996e0000000	mov dword ptr [esi + 0E0h], edx
8982e0000000	mov dword ptr [edx + 0E0h], eax
8982dc000000	mov dword ptr [edx + 0DCh], eax
8d8f8c000000	lea ecx, [edi + 8Ch]
8b87e0000000	mov eax, dword ptr [edi + 0E0h]
8b8fdc000000	mov ecx, dword ptr [edi + 0DCh]
898edc000000	mov dword ptr [esi + 0DCh], ecx
d89988000000	fcomp dword ptr [ecx + 88h]
8db18c000000	lea esi, [ecx + 8Ch]
8d878c000000	lea eax, [edi + 8Ch]
8b97dc000000	mov edx, dword ptr [edi + 0DCh]
8d96e0000000	lea edx, [esi + 0E0h]
81c6dc000000	add esi, 0DCh
c786a80000002c000000	mov dword ptr [esi + 0A8h], 2Ch
8d969c000000	lea edx, [esi + 9Ch]
81c694000000	add esi, 94h
81ecf8010000	sub esp, 1F8h
8d8dfcfdffff	lea ecx, [ebp - 204h]
898b98000000	mov dword ptr [ebx + 98h], ecx
89939c000000	mov dword ptr [ebx + 9Ch], edx
8d83ac000000	lea eax, [ebx + 0ACh]
8d9698000000	lea edx, [esi + 98h]
8d9690000000	lea edx, [esi + 90h]
83fb06	cmp ebx, 6
81ecc8010000	sub esp, 1C8h
8bb5f0000000	mov esi, dword ptr [ebp + 0F0h]
8bbdec000000	mov edi, dword ptr [ebp + 0ECh]
898df0000000	mov dword ptr [ebp + 0F0h], ecx
8b85e8000000	mov eax, dword ptr [ebp + 0E8h]
098388000000	or dword ptr [ebx + 88h], eax
098390000000	or dword ptr [ebx + 90h], eax
8d8d2cfeffff	lea ecx, [ebp - 1D4h]
8b8df0000000	mov ecx, dword ptr [ebp + 0F0h]
d98590000000	fld dword ptr [ebp + 90h]
d89db4feffff	fcomp dword ptr [ebp - 14Ch]
8b8d90000000	mov ecx, dword ptr [ebp + 90h]
8dbd94000000	lea edi, [ebp + 94h]
8b8db4feffff	mov ecx, dword ptr [ebp - 14Ch]
8dbdb8feffff	lea edi, [ebp - 148h]
8b85e4000000	mov eax, dword ptr [ebp + 0E4h]
8d952cfeffff	lea edx, [ebp - 1D4h]
c745fc00000040	mov dword ptr [ebp - 4], 40000000h
8d96a0000000	lea edx, [esi + 0A0h]
8d86a4000000	lea eax, [esi + 0A4h]
8b82b0000000	mov eax, dword ptr [edx + 0B0h]
8bb298000000	mov esi, dword ptr [edx + 98h]
8b9288000000	mov edx, dword ptr [edx + 88h]
8bb29c000000	mov esi, dword ptr [edx + 9Ch]
8b928c000000	mov edx, dword ptr [edx + 8Ch]
8bb2a0000000	mov esi, dword ptr [edx + 0A0h]
8b9290000000	mov edx, dword ptr [edx + 90h]
8bb2a4000000	mov esi, dword ptr [edx + 0A4h]
8b9294000000	mov edx, dword ptr [edx + 94h]
8bb6a8000000	mov esi, dword ptr [esi + 0A8h]
88487c	mov byte ptr [eax + 7Ch], cl
88482c	mov byte ptr [eax + 2Ch], cl
8988f4000000	mov dword ptr [eax + 0F4h], ecx
8988e8000000	mov dword ptr [eax + 0E8h], ecx
898808010000	mov dword ptr [eax + 108h], ecx
89880c010000	mov dword ptr [eax + 10Ch], ecx
c780140100000000c040	mov dword ptr [eax + 114h], 40C00000h
898818010000	mov dword ptr [eax + 118h], ecx
89881c010000	mov dword ptr [eax + 11Ch], ecx
3c0a	cmp al, 0Ah
c786140100000000c040	mov dword ptr [esi + 114h], 40C00000h
8d467c	lea eax, [esi + 7Ch]
8d96e4000000	lea edx, [esi + 0E4h]
8d86f8000000	lea eax, [esi + 0F8h]
8d8efc000000	lea ecx, [esi + 0FCh]
8d8604010000	lea eax, [esi + 104h]
c786e800000000000000	mov dword ptr [esi + 0E8h], 0
8d717c	lea esi, [ecx + 7Ch]
8d567c	lea edx, [esi + 7Ch]
c7832001000000000000	mov dword ptr [ebx + 120h], 0
89448e04	mov dword ptr [esi + ecx*4 + 4], eax
898496f4000000	mov dword ptr [esi + edx*4 + 0F4h], eax
89848e30010000	mov dword ptr [esi + ecx*4 + 130h], eax
8944967c	mov dword ptr [esi + edx*4 + 7Ch], eax
89848eb8000000	mov dword ptr [esi + ecx*4 + 0B8h], eax
d99c96a8010000	fstp dword ptr [esi + edx*4 + 1A8h]
d99c866c010000	fstp dword ptr [esi + eax*4 + 16Ch]
89448e40	mov dword ptr [esi + ecx*4 + 40h], eax
d99c96e4010000	fstp dword ptr [esi + edx*4 + 1E4h]
d99c8620020000	fstp dword ptr [esi + eax*4 + 220h]
89848e5c020000	mov dword ptr [esi + ecx*4 + 25Ch], eax
8984964c030000	mov dword ptr [esi + edx*4 + 34Ch], eax
89848e88030000	mov dword ptr [esi + ecx*4 + 388h], eax
898496d4020000	mov dword ptr [esi + edx*4 + 2D4h], eax
89848e10030000	mov dword ptr [esi + ecx*4 + 310h], eax
d99c9600040000	fstp dword ptr [esi + edx*4 + 400h]
d99c86c4030000	fstp dword ptr [esi + eax*4 + 3C4h]
89848e98020000	mov dword ptr [esi + ecx*4 + 298h], eax
d99c963c040000	fstp dword ptr [esi + edx*4 + 43Ch]
d99c8678040000	fstp dword ptr [esi + eax*4 + 478h]
8b448104	mov eax, dword ptr [ecx + eax*4 + 4]
8b84915c020000	mov eax, dword ptr [ecx + edx*4 + 25Ch]
8b448140	mov eax, dword ptr [ecx + eax*4 + 40h]
8b849198020000	mov eax, dword ptr [ecx + edx*4 + 298h]
d98481e4010000	fld dword ptr [ecx + eax*4 + 1E4h]
